date,TRON_unscaled,TRON_monthly,isPartial,scale,TRON
2020-03-18,55,40.0,,0.4,22.0
2020-03-19,57,40.0,,0.4,22.8
2020-03-20,52,40.0,,0.4,20.8
2020-03-21,70,40.0,,0.4,28.0
2020-03-22,74,39.0,False,0.39,28.86
2020-03-23,53,39.0,,0.39,20.67
2020-03-24,62,39.0,,0.39,24.18
2020-03-25,71,39.0,,0.39,27.69
2020-03-26,62,39.0,,0.39,24.18
2020-03-27,69,39.0,,0.39,26.91
2020-03-28,66,39.0,,0.39,25.740000000000002
2020-03-29,73,40.0,False,0.4,29.200000000000003
2020-03-30,75,40.0,,0.4,30.0
2020-03-31,55,40.0,,0.4,22.0
2020-04-01,70,40.0,,0.4,28.0
2020-04-02,81,40.0,,0.4,32.4
2020-04-03,71,40.0,,0.4,28.400000000000002
2020-04-04,85,40.0,,0.4,34.0
2020-04-05,91,40.0,False,0.4,36.4
2020-04-06,87,40.0,,0.4,34.800000000000004
2020-04-07,68,40.0,,0.4,27.200000000000003
2020-04-08,72,40.0,,0.4,28.8
2020-04-09,67,40.0,,0.4,26.8
2020-04-10,91,40.0,,0.4,36.4
2020-04-11,88,40.0,,0.4,35.2
2020-04-12,90,41.0,False,0.41,36.9
2020-04-13,71,41.0,,0.41,29.11
2020-04-14,84,41.0,,0.41,34.44
2020-04-15,91,41.0,,0.41,37.309999999999995
2020-04-16,91,41.0,,0.41,37.309999999999995
2020-04-17,72,41.0,,0.41,29.52
2020-04-18,100,41.0,,0.41,41.0
2020-04-19,81,40.0,False,0.4,32.4
2020-04-20,86,40.0,,0.4,34.4
2020-04-21,84,40.0,,0.4,33.6
2020-04-22,73,40.0,,0.4,29.200000000000003
2020-04-23,69,40.0,,0.4,27.6
2020-04-24,80,40.0,,0.4,32.0
2020-04-25,99,40.0,,0.4,39.6
2020-04-26,96,39.0,False,0.39,37.44
2020-04-27,80,39.0,,0.39,31.200000000000003
2020-04-28,62,39.0,,0.39,24.18
2020-04-29,63,39.0,,0.39,24.57
2020-04-30,74,39.0,,0.39,28.86
2020-05-01,72,39.0,,0.39,28.080000000000002
2020-05-02,82,39.0,,0.39,31.98
2020-05-03,95,41.0,False,0.41,38.949999999999996
2020-05-04,78,41.0,,0.41,31.979999999999997
2020-05-05,63,41.0,,0.41,25.83
2020-05-06,56,41.0,,0.41,22.959999999999997
2020-05-07,65,41.0,,0.41,26.65
2020-05-08,60,41.0,,0.41,24.599999999999998
2020-05-09,81,41.0,,0.41,33.21
2020-05-10,92,43.0,False,0.43,39.56
2020-05-11,71,43.0,,0.43,30.53
2020-05-12,66,43.0,,0.43,28.38
2020-05-13,70,43.0,,0.43,30.099999999999998
2020-05-14,85,43.0,,0.43,36.55
2020-05-15,71,43.0,,0.43,30.53
2020-05-16,81,43.0,,0.43,34.83
2020-05-17,100,42.0,False,0.42,42.0
2020-05-18,66,42.0,,0.42,27.72
2020-05-19,75,42.0,,0.42,31.5
2020-05-20,77,42.0,,0.42,32.339999999999996
2020-05-21,63,42.0,,0.42,26.459999999999997
2020-05-22,66,42.0,,0.42,27.72
2020-05-23,72,42.0,,0.42,30.24
2020-05-24,94,40.0,False,0.4,37.6
2020-05-25,85,40.0,,0.4,34.0
2020-05-26,71,40.0,,0.4,28.400000000000002
2020-05-27,63,40.0,,0.4,25.200000000000003
2020-05-28,54,40.0,,0.4,21.6
2020-05-29,52,40.0,,0.4,20.8
2020-05-30,73,40.0,,0.4,29.200000000000003
2020-05-31,77,36.0,False,0.36,27.72
2020-06-01,90,36.0,,0.36,32.4
2020-06-02,72,36.0,,0.36,25.919999999999998
2020-06-03,74,36.0,,0.36,26.64
2020-06-04,69,36.0,,0.36,24.84
2020-06-05,82,36.0,,0.36,29.52
2020-06-06,82,36.0,,0.36,29.52
2020-06-07,94,39.0,False,0.39,36.660000000000004
2020-06-08,90,39.0,,0.39,35.1
2020-06-09,74,39.0,,0.39,28.86
2020-06-10,100,39.0,,0.39,39.0
2020-06-11,89,39.0,,0.39,34.71
2020-06-12,79,39.0,,0.39,30.810000000000002
2020-06-13,90,39.0,,0.39,35.1
2020-06-14,87,33.0,False,0.33,28.71
2020-06-15,67,33.0,,0.33,22.11
2020-06-16,67,33.0,,0.33,22.11
2020-06-17,76,33.0,,0.33,25.080000000000002
2020-06-18,72,33.0,,0.33,23.76
2020-06-19,88,33.0,,0.33,29.040000000000003
2020-06-20,94,33.0,,0.33,31.020000000000003
2020-06-21,97,39.0,False,0.39,37.83
2020-06-22,86,39.0,,0.39,33.54
2020-06-23,78,39.0,,0.39,30.42
2020-06-24,80,39.0,,0.39,31.200000000000003
2020-06-25,81,39.0,,0.39,31.59
2020-06-26,93,39.0,,0.39,36.27
2020-06-27,92,39.0,,0.39,35.88
2020-06-28,96,40.0,False,0.4,38.400000000000006
2020-06-29,85,40.0,,0.4,34.0
2020-06-30,80,40.0,,0.4,32.0
2020-07-01,43,40.0,,0.4,17.2
2020-07-02,46,40.0,,0.4,18.400000000000002
2020-07-03,49,40.0,,0.4,19.6
2020-07-04,61,40.0,,0.4,24.400000000000002
2020-07-05,60,62.0,False,0.62,37.2
2020-07-06,56,62.0,,0.62,34.72
2020-07-07,100,62.0,,0.62,62.0
2020-07-08,92,62.0,,0.62,57.04
2020-07-09,78,62.0,,0.62,48.36
2020-07-10,75,62.0,,0.62,46.5
2020-07-11,65,62.0,,0.62,40.3
2020-07-12,67,43.0,False,0.43,28.81
2020-07-13,56,43.0,,0.43,24.08
2020-07-14,54,43.0,,0.43,23.22
2020-07-15,49,43.0,,0.43,21.07
2020-07-16,46,43.0,,0.43,19.78
2020-07-17,59,43.0,,0.43,25.37
2020-07-18,55,43.0,,0.43,23.65
2020-07-19,64,46.0,False,0.46,29.44
2020-07-20,47,46.0,,0.46,21.62
2020-07-21,57,46.0,,0.46,26.220000000000002
2020-07-22,64,46.0,,0.46,29.44
2020-07-23,61,46.0,,0.46,28.060000000000002
2020-07-24,50,46.0,,0.46,23.0
2020-07-25,57,46.0,,0.46,26.220000000000002
2020-07-26,57,44.0,False,0.44,25.080000000000002
2020-07-27,53,44.0,,0.44,23.32
2020-07-28,48,44.0,,0.44,21.12
2020-07-29,54,44.0,,0.44,23.76
2020-07-30,45,44.0,,0.44,19.8
2020-07-31,53,44.0,,0.44,23.32
2020-08-01,72,44.0,,0.44,31.68
2020-08-02,71,44.0,False,0.44,31.24
2020-08-03,44,44.0,,0.44,19.36
2020-08-04,48,44.0,,0.44,21.12
2020-08-05,57,44.0,,0.44,25.080000000000002
2020-08-06,58,44.0,,0.44,25.52
2020-08-07,57,44.0,,0.44,25.080000000000002
2020-08-08,57,44.0,,0.44,25.080000000000002
2020-08-09,64,54.0,False,0.54,34.56
2020-08-10,100,54.0,,0.54,54.0
2020-08-11,86,54.0,,0.54,46.440000000000005
2020-08-12,64,54.0,,0.54,34.56
2020-08-13,59,54.0,,0.54,31.860000000000003
2020-08-14,60,54.0,,0.54,32.400000000000006
2020-08-15,58,54.0,,0.54,31.32
2020-08-16,67,46.0,False,0.46,30.82
2020-08-17,62,46.0,,0.46,28.52
2020-08-18,51,46.0,,0.46,23.46
2020-08-19,53,46.0,,0.46,24.380000000000003
2020-08-20,56,46.0,,0.46,25.76
2020-08-21,56,46.0,,0.46,25.76
2020-08-22,60,46.0,,0.46,27.6
2020-08-23,61,38.0,False,0.38,23.18
2020-08-24,57,38.0,,0.38,21.66
2020-08-25,53,38.0,,0.38,20.14
2020-08-26,45,38.0,,0.38,17.1
2020-08-27,39,38.0,,0.38,14.82
2020-08-28,35,38.0,,0.38,13.3
2020-08-29,51,38.0,,0.38,19.38
2020-08-30,55,45.0,False,0.45,24.75
2020-08-31,50,45.0,,0.45,22.5
2020-09-01,70,45.0,,0.45,31.5
2020-09-02,71,45.0,,0.45,31.95
2020-09-03,94,45.0,,0.45,42.300000000000004
2020-09-04,76,45.0,,0.45,34.2
2020-09-05,72,45.0,,0.45,32.4
2020-09-06,72,42.0,False,0.42,30.24
2020-09-07,79,42.0,,0.42,33.18
2020-09-08,89,42.0,,0.42,37.379999999999995
2020-09-09,61,42.0,,0.42,25.619999999999997
2020-09-10,62,42.0,,0.42,26.04
2020-09-11,65,42.0,,0.42,27.3
2020-09-12,66,42.0,,0.42,27.72
2020-09-13,78,42.0,False,0.42,32.76
2020-09-14,58,42.0,,0.42,24.36
2020-09-15,70,42.0,,0.42,29.4
2020-09-16,66,42.0,,0.42,27.72
2020-09-17,76,42.0,,0.42,31.919999999999998
2020-09-18,68,42.0,,0.42,28.56
2020-09-19,88,42.0,,0.42,36.96
2020-09-20,61,41.0,False,0.41,25.009999999999998
2020-09-21,63,41.0,,0.41,25.83
2020-09-22,59,41.0,,0.41,24.189999999999998
2020-09-23,63,41.0,,0.41,25.83
2020-09-24,71,41.0,,0.41,29.11
2020-09-25,73,41.0,,0.41,29.93
2020-09-26,87,41.0,,0.41,35.669999999999995
2020-09-27,100,40.0,False,0.4,40.0
2020-09-28,66,40.0,,0.4,26.400000000000002
2020-09-29,67,40.0,,0.4,26.8
2020-09-30,66,40.0,,0.4,26.400000000000002
2020-10-01,78,40.0,,0.4,31.200000000000003
2020-10-02,74,40.0,,0.4,29.6
2020-10-03,70,40.0,,0.4,28.0
2020-10-04,90,36.0,False,0.36,32.4
2020-10-05,68,36.0,,0.36,24.48
2020-10-06,68,36.0,,0.36,24.48
2020-10-07,64,36.0,,0.36,23.04
2020-10-08,64,36.0,,0.36,23.04
2020-10-09,71,36.0,,0.36,25.56
2020-10-10,91,36.0,,0.36,32.76
2020-10-11,100,38.0,False,0.38,38.0
2020-10-12,75,38.0,,0.38,28.5
2020-10-13,71,38.0,,0.38,26.98
2020-10-14,78,38.0,,0.38,29.64
2020-10-15,72,38.0,,0.38,27.36
2020-10-16,63,38.0,,0.38,23.94
2020-10-17,82,38.0,,0.38,31.16
2020-10-18,66,35.0,False,0.35,23.099999999999998
2020-10-19,52,35.0,,0.35,18.2
2020-10-20,81,35.0,,0.35,28.349999999999998
2020-10-21,68,35.0,,0.35,23.799999999999997
2020-10-22,67,35.0,,0.35,23.45
2020-10-23,69,35.0,,0.35,24.15
2020-10-24,87,35.0,,0.35,30.45
2020-10-25,89,36.0,False,0.36,32.04
2020-10-26,71,36.0,,0.36,25.56
2020-10-27,59,36.0,,0.36,21.24
2020-10-28,67,36.0,,0.36,24.119999999999997
2020-10-29,56,36.0,,0.36,20.16
2020-10-30,71,36.0,,0.36,25.56
2020-10-31,90,36.0,,0.36,32.4
2020-11-01,64,30.0,False,0.3,19.2
2020-11-02,63,30.0,,0.3,18.9
2020-11-03,47,30.0,,0.3,14.1
2020-11-04,38,30.0,,0.3,11.4
2020-11-05,40,30.0,,0.3,12.0
2020-11-06,51,30.0,,0.3,15.299999999999999
2020-11-07,59,30.0,,0.3,17.7
2020-11-08,63,34.0,False,0.34,21.42
2020-11-09,58,34.0,,0.34,19.720000000000002
2020-11-10,55,34.0,,0.34,18.700000000000003
2020-11-11,56,34.0,,0.34,19.040000000000003
2020-11-12,57,34.0,,0.34,19.380000000000003
2020-11-13,59,34.0,,0.34,20.060000000000002
2020-11-14,65,34.0,,0.34,22.1
2020-11-15,81,38.0,False,0.38,30.78
2020-11-16,57,38.0,,0.38,21.66
2020-11-17,62,38.0,,0.38,23.56
2020-11-18,71,38.0,,0.38,26.98
2020-11-19,53,38.0,,0.38,20.14
2020-11-20,51,38.0,,0.38,19.38
2020-11-21,73,38.0,,0.38,27.740000000000002
2020-11-22,78,49.0,False,0.49,38.22
2020-11-23,71,49.0,,0.49,34.79
2020-11-24,85,49.0,,0.49,41.65
2020-11-25,75,49.0,,0.49,36.75
2020-11-26,100,49.0,,0.49,49.0
2020-11-27,81,49.0,,0.49,39.69
2020-11-28,85,49.0,,0.49,41.65
2020-11-29,83,46.0,False,0.46,38.18
2020-11-30,81,46.0,,0.46,37.260000000000005
2020-12-01,82,46.0,,0.46,37.72
2020-12-02,82,46.0,,0.46,37.72
2020-12-03,70,46.0,,0.46,32.2
2020-12-04,73,46.0,,0.46,33.58
2020-12-05,84,46.0,,0.46,38.64
2020-12-06,82,36.0,False,0.36,29.52
2020-12-07,54,36.0,,0.36,19.439999999999998
2020-12-08,69,36.0,,0.36,24.84
2020-12-09,56,36.0,,0.36,20.16
2020-12-10,74,36.0,,0.36,26.64
2020-12-11,62,36.0,,0.36,22.32
2020-12-12,69,36.0,,0.36,24.84
2020-12-13,80,43.0,False,0.43,34.4
2020-12-14,73,43.0,,0.43,31.39
2020-12-15,71,43.0,,0.43,30.53
2020-12-16,58,43.0,,0.43,24.94
2020-12-17,92,43.0,,0.43,39.56
2020-12-18,87,43.0,,0.43,37.41
2020-12-19,66,43.0,,0.43,28.38
2020-12-20,86,47.0,False,0.47,40.419999999999995
2020-12-21,82,47.0,,0.47,38.54
2020-12-22,72,47.0,,0.47,33.839999999999996
2020-12-23,90,47.0,,0.47,42.3
2020-12-24,90,47.0,,0.47,42.3
2020-12-25,83,47.0,,0.47,39.01
2020-12-26,72,47.0,,0.47,33.839999999999996
2020-12-27,100,45.0,False,0.45,45.0
2020-12-28,73,45.0,,0.45,32.85
2020-12-29,61,45.0,,0.45,27.45
2020-12-30,78,45.0,,0.45,35.1
2020-12-31,80,45.0,,0.45,36.0
2021-01-01,58,45.0,,0.45,26.1
2021-01-02,65,45.0,,0.45,29.25
2021-01-03,83,50.0,False,0.5,41.5
2021-01-04,64,50.0,,0.5,32.0
2021-01-05,78,50.0,,0.5,39.0
2021-01-06,54,50.0,,0.5,27.0
2021-01-07,64,50.0,,0.5,32.0
2021-01-08,57,50.0,,0.5,28.5
2021-01-09,64,50.0,,0.5,32.0
2021-01-10,75,46.0,False,0.46,34.5
2021-01-11,65,46.0,,0.46,29.900000000000002
2021-01-12,54,46.0,,0.46,24.84
2021-01-13,56,46.0,,0.46,25.76
2021-01-14,52,46.0,,0.46,23.92
2021-01-15,60,46.0,,0.46,27.6
2021-01-16,66,46.0,,0.46,30.360000000000003
2021-01-17,74,44.0,False,0.44,32.56
2021-01-18,68,44.0,,0.44,29.92
2021-01-19,55,44.0,,0.44,24.2
2021-01-20,42,44.0,,0.44,18.48
2021-01-21,53,44.0,,0.44,23.32
2021-01-22,58,44.0,,0.44,25.52
2021-01-23,76,44.0,,0.44,33.44
2021-01-24,75,52.0,False,0.52,39.0
2021-01-25,60,52.0,,0.52,31.200000000000003
2021-01-26,62,52.0,,0.52,32.24
2021-01-27,49,52.0,,0.52,25.48
2021-01-28,55,52.0,,0.52,28.6
2021-01-29,88,52.0,,0.52,45.760000000000005
2021-01-30,100,52.0,,0.52,52.0
2021-01-31,85,53.0,False,0.53,45.050000000000004
2021-02-01,43,53.0,,0.53,22.790000000000003
2021-02-02,33,53.0,,0.53,17.490000000000002
2021-02-03,35,53.0,,0.53,18.55
2021-02-04,32,53.0,,0.53,16.96
2021-02-05,44,53.0,,0.53,23.32
2021-02-06,43,53.0,,0.53,22.790000000000003
2021-02-07,46,100.0,False,1.0,46.0
2021-02-08,42,100.0,,1.0,42.0
2021-02-09,74,100.0,,1.0,74.0
2021-02-10,94,100.0,,1.0,94.0
2021-02-11,75,100.0,,1.0,75.0
2021-02-12,100,100.0,,1.0,100.0
2021-02-13,87,100.0,,1.0,87.0
2021-02-14,73,71.0,False,0.71,51.83
2021-02-15,51,71.0,,0.71,36.21
2021-02-16,54,71.0,,0.71,38.339999999999996
2021-02-17,50,71.0,,0.71,35.5
2021-02-18,42,71.0,,0.71,29.82
2021-02-19,51,71.0,,0.71,36.21
2021-02-20,58,71.0,,0.71,41.18
2021-02-21,56,86.0,False,0.86,48.16
2021-02-22,70,86.0,,0.86,60.199999999999996
2021-02-23,75,86.0,,0.86,64.5
2021-02-24,61,86.0,,0.86,52.46
2021-02-25,67,86.0,,0.86,57.62
2021-02-26,57,86.0,,0.86,49.019999999999996
2021-02-27,59,86.0,,0.86,50.74
2021-02-28,74,74.0,False,0.74,54.76
2021-03-01,77,74.0,,0.74,56.98
2021-03-02,69,74.0,,0.74,51.06
2021-03-03,85,74.0,,0.74,62.9
2021-03-04,76,74.0,,0.74,56.24
2021-03-05,82,74.0,,0.74,60.68
2021-03-06,81,74.0,,0.74,59.94
2021-03-07,94,70.0,False,0.7,65.8
2021-03-08,98,70.0,,0.7,68.6
2021-03-09,80,70.0,,0.7,56.0
2021-03-10,80,70.0,,0.7,56.0
2021-03-11,66,70.0,,0.7,46.199999999999996
2021-03-12,74,70.0,,0.7,51.8
2021-03-13,82,70.0,,0.7,57.4
2021-03-14,100,67.0,False,0.67,67.0
2021-03-15,65,67.0,,0.67,43.550000000000004
2021-03-16,84,67.0,,0.67,56.28
2021-03-17,69,67.0,,0.67,46.230000000000004
2021-03-18,65,67.0,,0.67,43.550000000000004
2021-03-19,67,67.0,,0.67,44.89
2021-03-20,90,67.0,,0.67,60.300000000000004
2021-03-21,86,55.0,False,0.55,47.300000000000004
2021-03-22,72,55.0,,0.55,39.6
2021-03-23,53,55.0,,0.55,29.150000000000002
2021-03-24,62,55.0,,0.55,34.1
2021-03-25,62,55.0,,0.55,34.1
2021-03-26,56,55.0,,0.55,30.800000000000004
2021-03-27,73,55.0,,0.55,40.150000000000006
2021-03-28,58,63.0,False,0.63,36.54
2021-03-29,55,63.0,,0.63,34.65
2021-03-30,51,63.0,,0.63,32.13
2021-03-31,87,63.0,,0.63,54.81
2021-04-01,63,63.0,,0.63,39.69
2021-04-02,58,63.0,,0.63,36.54
2021-04-03,71,63.0,,0.63,44.73
2021-04-04,84,84.0,False,0.84,70.56
2021-04-05,100,84.0,,0.84,84.0
2021-04-06,72,84.0,,0.84,60.48
2021-04-07,61,84.0,,0.84,51.239999999999995
2021-04-08,64,84.0,,0.84,53.76
2021-04-09,60,84.0,,0.84,50.4
2021-04-10,79,84.0,,0.84,66.36
2021-04-11,71,92.0,False,0.92,65.32000000000001
2021-04-12,56,92.0,,0.92,51.52
2021-04-13,81,92.0,,0.92,74.52000000000001
2021-04-14,79,92.0,,0.92,72.68
2021-04-15,98,92.0,,0.92,90.16000000000001
2021-04-16,93,92.0,,0.92,85.56
2021-04-17,99,92.0,,0.92,91.08
2021-04-18,93,85.0,False,0.85,79.05
2021-04-19,79,85.0,,0.85,67.14999999999999
2021-04-20,67,85.0,,0.85,56.949999999999996
2021-04-21,61,85.0,,0.85,51.85
2021-04-22,66,85.0,,0.85,56.1
2021-04-23,78,85.0,,0.85,66.3
2021-04-24,75,85.0,,0.85,63.75
2021-04-25,76,69.0,False,0.69,52.44
2021-04-26,63,69.0,,0.69,43.47
2021-04-27,62,69.0,,0.69,42.779999999999994
2021-04-28,58,69.0,,0.69,40.019999999999996
2021-04-29,56,69.0,,0.69,38.64
2021-04-30,53,69.0,,0.69,36.57
2021-05-01,84,69.0,,0.69,57.959999999999994
2021-05-02,87,76.0,False,0.76,66.12
2021-05-03,67,76.0,,0.76,50.92
2021-05-04,74,76.0,,0.76,56.24
2021-05-05,91,76.0,,0.76,69.16
2021-05-06,86,76.0,,0.76,65.36
2021-05-07,94,76.0,,0.76,71.44
2021-05-08,95,76.0,,0.76,72.2
2021-05-09,87,68.0,False,0.68,59.160000000000004
2021-05-10,69,68.0,,0.68,46.92
2021-05-11,66,68.0,,0.68,44.88
2021-05-12,73,68.0,,0.68,49.64
2021-05-13,75,68.0,,0.68,51.00000000000001
2021-05-14,66,68.0,,0.68,44.88
2021-05-15,83,68.0,,0.68,56.440000000000005
2021-05-16,100,73.0,False,0.73,73.0
2021-05-17,77,73.0,,0.73,56.21
2021-05-18,81,73.0,,0.73,59.129999999999995
2021-05-19,75,73.0,,0.73,54.75
2021-05-20,80,73.0,,0.73,58.4
2021-05-21,83,73.0,,0.73,60.589999999999996
2021-05-22,84,73.0,,0.73,61.32
2021-05-23,97,67.0,False,0.67,64.99000000000001
2021-05-24,85,67.0,,0.67,56.95
2021-05-25,86,67.0,,0.67,57.620000000000005
2021-05-26,53,67.0,,0.67,35.510000000000005
2021-05-27,71,67.0,,0.67,47.57
2021-05-28,55,67.0,,0.67,36.85
2021-05-29,71,67.0,,0.67,47.57
2021-05-30,92,61.0,False,0.61,56.12
2021-05-31,67,61.0,,0.61,40.87
2021-06-01,61,61.0,,0.61,37.21
2021-06-02,73,61.0,,0.61,44.53
2021-06-03,65,61.0,,0.61,39.65
2021-06-04,71,61.0,,0.61,43.31
2021-06-05,92,61.0,,0.61,56.12
2021-06-06,79,55.0,False,0.55,43.45
2021-06-07,66,55.0,,0.55,36.300000000000004
2021-06-08,69,55.0,,0.55,37.95
2021-06-09,64,55.0,,0.55,35.2
2021-06-10,64,55.0,,0.55,35.2
2021-06-11,66,55.0,,0.55,36.300000000000004
2021-06-12,69,55.0,,0.55,37.95
2021-06-13,94,51.0,False,0.51,47.94
2021-06-14,63,51.0,,0.51,32.13
2021-06-15,56,51.0,,0.51,28.560000000000002
2021-06-16,58,51.0,,0.51,29.580000000000002
2021-06-17,50,51.0,,0.51,25.5
2021-06-18,63,51.0,,0.51,32.13
2021-06-19,56,51.0,,0.51,28.560000000000002
2021-06-20,79,53.0,False,0.53,41.870000000000005
2021-06-21,52,53.0,,0.53,27.560000000000002
2021-06-22,63,53.0,,0.53,33.39
2021-06-23,51,53.0,,0.53,27.03
2021-06-24,64,53.0,,0.53,33.92
2021-06-25,56,53.0,,0.53,29.68
2021-06-26,100,53.0,,0.53,53.0
2021-06-27,61,52.0,False,0.52,31.720000000000002
2021-06-28,65,52.0,,0.52,33.800000000000004
2021-06-29,70,52.0,,0.52,36.4
2021-06-30,63,52.0,,0.52,32.76
2021-07-01,69,52.0,,0.52,35.88
2021-07-02,69,52.0,,0.52,35.88
2021-07-03,77,52.0,,0.52,40.04
2021-07-04,100,54.0,False,0.54,54.0
2021-07-05,85,54.0,,0.54,45.900000000000006
2021-07-06,71,54.0,,0.54,38.34
2021-07-07,63,54.0,,0.54,34.02
2021-07-08,79,54.0,,0.54,42.660000000000004
2021-07-09,69,54.0,,0.54,37.260000000000005
2021-07-10,70,54.0,,0.54,37.800000000000004
2021-07-11,88,48.0,False,0.48,42.239999999999995
2021-07-12,65,48.0,,0.48,31.2
2021-07-13,57,48.0,,0.48,27.36
2021-07-14,61,48.0,,0.48,29.279999999999998
2021-07-15,58,48.0,,0.48,27.84
2021-07-16,70,48.0,,0.48,33.6
2021-07-17,73,48.0,,0.48,35.04
2021-07-18,88,49.0,False,0.49,43.12
2021-07-19,75,49.0,,0.49,36.75
2021-07-20,56,49.0,,0.49,27.439999999999998
2021-07-21,52,49.0,,0.49,25.48
2021-07-22,72,49.0,,0.49,35.28
2021-07-23,67,49.0,,0.49,32.83
2021-07-24,68,49.0,,0.49,33.32
2021-07-25,76,45.0,False,0.45,34.2
2021-07-26,54,45.0,,0.45,24.3
2021-07-27,57,45.0,,0.45,25.650000000000002
2021-07-28,63,45.0,,0.45,28.35
2021-07-29,59,45.0,,0.45,26.55
2021-07-30,59,45.0,,0.45,26.55
2021-07-31,63,45.0,,0.45,28.35
2021-08-01,75,51.0,False,0.51,38.25
2021-08-02,68,51.0,,0.51,34.68
2021-08-03,72,51.0,,0.51,36.72
2021-08-04,70,51.0,,0.51,35.7
2021-08-05,69,51.0,,0.51,35.19
2021-08-06,77,51.0,,0.51,39.27
2021-08-07,79,51.0,,0.51,40.29
2021-08-08,86,56.0,False,0.56,48.160000000000004
2021-08-09,68,56.0,,0.56,38.080000000000005
2021-08-10,65,56.0,,0.56,36.400000000000006
2021-08-11,80,56.0,,0.56,44.800000000000004
2021-08-12,79,56.0,,0.56,44.24
2021-08-13,78,56.0,,0.56,43.68000000000001
2021-08-14,100,56.0,,0.56,56.00000000000001
2021-08-15,94,55.0,False,0.55,51.7
2021-08-16,81,55.0,,0.55,44.550000000000004
2021-08-17,77,55.0,,0.55,42.35
2021-08-18,67,55.0,,0.55,36.85
2021-08-19,70,55.0,,0.55,38.5
2021-08-20,73,55.0,,0.55,40.150000000000006
2021-08-21,88,55.0,,0.55,48.400000000000006
2021-08-22,71,50.0,False,0.5,35.5
2021-08-23,74,50.0,,0.5,37.0
2021-08-24,68,50.0,,0.5,34.0
2021-08-25,60,50.0,,0.5,30.0
2021-08-26,75,50.0,,0.5,37.5
