"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2022","1.0451","1.0249","1.0461","1.0214","83.62M","1.98%"
"Apr 08, 2022","1.0249","1.0896","1.0988","1.0191","132.21M","-5.99%"
"Apr 07, 2022","1.0902","1.0522","1.1004","1.0407","171.86M","3.62%"
"Apr 06, 2022","1.0521","1.1707","1.1727","1.0486","294.66M","-10.14%"
"Apr 05, 2022","1.1709","1.2127","1.2180","1.1653","178.02M","-3.45%"
"Apr 04, 2022","1.2127","1.1857","1.2434","1.1620","385.20M","2.28%"
"Apr 03, 2022","1.1857","1.1552","1.1989","1.1440","124.44M","2.65%"
"Apr 02, 2022","1.1551","1.1656","1.1951","1.1484","171.38M","-0.90%"
"Apr 01, 2022","1.1656","1.1415","1.1741","1.1059","290.95M","2.11%"
"Mar 31, 2022","1.1415","1.1893","1.2280","1.1342","270.90M","-4.02%"
"Mar 30, 2022","1.1893","1.1900","1.2176","1.1637","218.50M","-0.06%"
"Mar 29, 2022","1.1901","1.1670","1.2412","1.1667","279.49M","1.97%"
"Mar 28, 2022","1.1670","1.1842","1.2438","1.1613","373.99M","-1.45%"
"Mar 27, 2022","1.1842","1.1528","1.1859","1.1052","195.68M","2.71%"
"Mar 26, 2022","1.1529","1.0960","1.1588","1.0793","224.23M","5.12%"
"Mar 25, 2022","1.0967","1.1310","1.1651","1.0739","410.60M","-3.03%"
"Mar 24, 2022","1.1310","1.1065","1.1882","1.0809","558.17M","2.22%"
"Mar 23, 2022","1.1065","0.9749","1.1091","0.9572","523.61M","13.50%"
"Mar 22, 2022","0.9749","0.9180","0.9879","0.9073","262.67M","6.19%"
"Mar 21, 2022","0.9180","0.8787","0.9298","0.8631","181.64M","4.48%"
"Mar 20, 2022","0.8787","0.9031","0.9156","0.8643","148.91M","-2.71%"
"Mar 19, 2022","0.9031","0.8519","0.9148","0.8512","173.26M","6.01%"
"Mar 18, 2022","0.8520","0.8358","0.8596","0.8214","114.72M","1.93%"
"Mar 17, 2022","0.8358","0.8387","0.8570","0.8288","145.00M","-0.34%"
"Mar 16, 2022","0.8387","0.7990","0.8397","0.7942","204.05M","4.97%"
"Mar 15, 2022","0.7990","0.8031","0.8163","0.7835","128.30M","-0.51%"
"Mar 14, 2022","0.8031","0.7878","0.8129","0.7786","144.85M","1.94%"
"Mar 13, 2022","0.7878","0.7898","0.8201","0.7814","115.35M","-0.25%"
"Mar 12, 2022","0.7898","0.7889","0.8017","0.7870","72.94M","0.11%"
"Mar 11, 2022","0.7889","0.8067","0.8189","0.7830","136.69M","-2.20%"
"Mar 10, 2022","0.8067","0.8483","0.8533","0.7876","157.91M","-4.91%"
"Mar 09, 2022","0.8483","0.8017","0.8629","0.7999","158.54M","5.78%"
"Mar 08, 2022","0.8019","0.7940","0.8202","0.7881","164.92M","1.01%"
"Mar 07, 2022","0.7940","0.8223","0.8459","0.7782","177.19M","-3.43%"
"Mar 06, 2022","0.8222","0.8642","0.8709","0.8200","109.77M","-4.86%"
"Mar 05, 2022","0.8642","0.8448","0.8818","0.8204","121.47M","2.29%"
"Mar 04, 2022","0.8448","0.9021","0.9030","0.8275","201.20M","-6.36%"
"Mar 03, 2022","0.9022","0.9381","0.9456","0.8847","177.11M","-3.83%"
"Mar 02, 2022","0.9381","0.9635","0.9757","0.9270","235.08M","-2.64%"
"Mar 01, 2022","0.9635","0.9630","1.0076","0.9415","353.23M","-0.02%"
"Feb 28, 2022","0.9637","0.8568","0.9690","0.8422","356.20M","12.49%"
